,N,Loss
0,1,1.1410070657730103
0,101,0.702945351600647
0,201,0.5706896185874939
0,301,0.4673623740673065
0,401,0.2748415768146515
0,501,0.22473914921283722
0,601,0.23450201749801636
0,701,0.2197098284959793
0,801,0.2117888331413269
0,901,0.2114306092262268
0,1001,0.1890295147895813
0,1101,0.1808558851480484
0,1201,0.1562735140323639
0,1301,0.11539147049188614
0,1401,0.14727537333965302
0,1501,0.10004693269729614
0,1601,0.10164106637239456
0,1701,0.11408644914627075
0,1801,0.12451812624931335
0,1901,0.1264975666999817
0,2001,0.11233159154653549
0,2101,0.10197585076093674
0,2201,0.08421246707439423
0,2301,0.07689451426267624
0,2401,0.09091217070817947
0,1,1.2771341800689697
0,101,0.8116313815116882
0,201,0.6578156352043152
0,301,0.40769633650779724
0,401,0.4061926305294037
0,501,0.24340733885765076
0,601,0.21611447632312775
0,701,0.1960555911064148
0,801,0.1877366453409195
0,901,0.20342835783958435
0,1001,0.16856072843074799
0,1101,0.17899644374847412
0,1201,0.12689514458179474
0,1301,0.1647913157939911
0,1401,0.1454080045223236
0,1501,0.11919452995061874
0,1601,0.12000173330307007
0,1701,0.11922751367092133
0,1801,0.1258067935705185
0,1901,0.137076735496521
0,2001,0.11294950544834137
0,2101,0.11502598971128464
0,2201,0.11096541583538055
0,2301,0.07494667917490005
0,2401,0.11144258826971054
0,1,1.5662782192230225
0,101,0.8291881680488586
0,201,0.6915603876113892
0,301,0.4563409686088562
0,401,0.517754077911377
0,501,0.21115358173847198
0,601,0.3197416663169861
0,701,0.20310281217098236
0,801,0.16194751858711243
0,901,0.19968362152576447
0,1001,0.20757055282592773
0,1101,0.1811380237340927
0,1201,0.15151526033878326
0,1301,0.13618113100528717
0,1401,0.13698340952396393
0,1501,0.1362781524658203
0,1601,0.10118170082569122
0,1701,0.14176097512245178
0,1801,0.09193026274442673
0,1901,0.10711244493722916
0,2001,0.11189829558134079
0,2101,0.12055869400501251
0,2201,0.09582377225160599
0,2301,0.08899274468421936
0,2401,0.08338671922683716
0,1,1.14615797996521
0,101,0.8903587460517883
0,201,0.8508598208427429
0,301,0.541911244392395
0,401,0.336933434009552
0,501,0.30884620547294617
0,601,0.20085681974887848
0,701,0.20984719693660736
0,801,0.19042378664016724
0,901,0.23169158399105072
0,1001,0.1946367472410202
0,1101,0.156394824385643
0,1201,0.12597543001174927
0,1301,0.1354764848947525
0,1401,0.1207638531923294
0,1501,0.12375842779874802
0,1601,0.10538333654403687
0,1701,0.12835180759429932
0,1801,0.10354800522327423
0,1901,0.13409407436847687
0,2001,0.1068895161151886
0,2101,0.11141185462474823
0,2201,0.09790312498807907
0,2301,0.0790642574429512
0,2401,0.07559531182050705
0,1,1.1956311464309692
0,101,0.815550684928894
0,201,0.7093398571014404
0,301,0.3678670823574066
0,401,0.2542785704135895
0,501,0.21236209571361542
0,601,0.2132941037416458
0,701,0.21016545593738556
0,801,0.23322105407714844
0,901,0.20763151347637177
0,1001,0.20823292434215546
0,1101,0.1587943285703659
0,1201,0.15005430579185486
0,1301,0.11390726268291473
0,1401,0.1354963779449463
0,1501,0.13089774549007416
0,1601,0.11217168718576431
0,1701,0.12278945744037628
0,1801,0.12786617875099182
0,1901,0.11915726959705353
0,2001,0.13198889791965485
0,2101,0.11609993875026703
0,2201,0.11212080717086792
0,2301,0.12378909438848495
0,2401,0.102411650121212
0,1,1.1534454822540283
0,101,0.9210253357887268
0,201,0.6756013631820679
0,301,0.66045743227005
0,401,0.3455934226512909
0,501,0.22404523193836212
0,601,0.2699161767959595
0,701,0.23752769827842712
0,801,0.21828588843345642
0,901,0.18785975873470306
0,1001,0.15869885683059692
0,1101,0.18370074033737183
0,1201,0.12423279136419296
0,1301,0.16525664925575256
0,1401,0.11003650724887848
0,1501,0.11856283992528915
0,1601,0.09649122506380081
0,1701,0.1104503944516182
0,1801,0.10566401481628418
0,1901,0.10051760077476501
0,2001,0.09526178240776062
0,2101,0.11800040304660797
0,2201,0.09590039402246475
0,2301,0.10334654152393341
0,2401,0.07952915132045746
0,1,1.2069510221481323
0,101,0.9466344714164734
0,201,0.7460471391677856
0,301,0.3872890770435333
0,401,0.27195680141448975
0,501,0.2631281316280365
0,601,0.24462704360485077
0,701,0.21293696761131287
0,801,0.22453464567661285
0,901,0.1947077214717865
0,1001,0.1784633994102478
0,1101,0.17388223111629486
0,1201,0.19090037047863007
0,1301,0.14489813148975372
0,1401,0.10796757787466049
0,1501,0.1204439252614975
0,1601,0.10744871199131012
0,1701,0.15588754415512085
0,1801,0.09049779921770096
0,1901,0.10718410462141037
0,2001,0.13950411975383759
0,2101,0.14866067469120026
0,2201,0.10410833358764648
0,2301,0.08719506859779358
0,2401,0.09418345242738724
0,1,1.472411036491394
0,101,0.9709048271179199
0,201,0.7691258788108826
0,301,0.47204768657684326
0,401,0.324362188577652
0,501,0.2198255956172943
0,601,0.2779277265071869
0,701,0.21891936659812927
0,801,0.2046635001897812
0,901,0.22149036824703217
0,1001,0.19111673533916473
0,1101,0.17385393381118774
0,1201,0.16048941016197205
0,1301,0.127151757478714
0,1401,0.1261153519153595
0,1501,0.13236787915229797
0,1601,0.12913154065608978
0,1701,0.10780630260705948
0,1801,0.11698677390813828
