,N,Loss
0,1201,0.10383463650941849
0,1301,0.07180357724428177
0,1401,0.10096659511327744
0,1501,0.08935481309890747
0,1601,0.0829441249370575
0,1701,0.07903408259153366
0,1801,0.07515110820531845
0,1901,0.07323035597801208
0,2001,0.052346933633089066
0,2101,0.06419650465250015
0,2201,0.0721370056271553
0,2301,0.05237831175327301
0,2401,0.058315906673669815
0,1,0.6263149380683899
0,101,0.3019111156463623
0,201,0.26670321822166443
0,301,0.21330885589122772
0,401,0.20589317381381989
0,501,0.162854865193367
0,601,0.15915776789188385
0,701,0.1500912308692932
0,801,0.15308021008968353
0,901,0.12620116770267487
0,1001,0.09498106688261032
0,1101,0.11416617035865784
0,1201,0.09177521616220474
0,1301,0.09882917255163193
0,1401,0.09301920235157013
0,1501,0.10689415782690048
0,1601,0.07068054378032684
0,1701,0.07143871486186981
0,1801,0.08470942825078964
0,1901,0.053903158754110336
0,2001,0.0751689076423645
0,2101,0.05401238799095154
0,2201,0.04743684455752373
0,2301,0.06248346343636513
0,2401,0.06416443735361099
0,1,0.5616698265075684
0,101,0.2892862856388092
0,201,0.2739356756210327
0,301,0.2189340740442276
0,401,0.20663495361804962
0,501,0.19278381764888763
0,601,0.15931355953216553
0,701,0.1398771107196808
0,801,0.12216556817293167
0,901,0.125092014670372
0,1001,0.12723343074321747
0,1101,0.1074456125497818
0,1201,0.08583269268274307
0,1301,0.08783937245607376
0,1401,0.08448856323957443
0,1501,0.08261996507644653
0,1601,0.07850029319524765
0,1701,0.08158814162015915
0,1801,0.06381586194038391
0,1901,0.07338157296180725
0,2001,0.05707789584994316
0,2101,0.07164721190929413
0,2201,0.08361899107694626
0,2301,0.07065883278846741
0,2401,0.04096515104174614
0,1,0.6191583871841431
0,101,0.3018452525138855
0,201,0.2700256407260895
0,301,0.24267086386680603
0,401,0.1931784301996231
0,501,0.18374083936214447
0,601,0.16818372905254364
0,701,0.14253519475460052
0,801,0.13159781694412231
0,901,0.12238069623708725
0,1001,0.12101421505212784
0,1101,0.11498744785785675
0,1201,0.1236933022737503
0,1301,0.07764778286218643
0,1401,0.08286596089601517
0,1501,0.10370996594429016
0,1601,0.07668235152959824
0,1701,0.07482657581567764
0,1801,0.05937487632036209
0,1901,0.07261110097169876
0,2001,0.0645911768078804
0,2101,0.053122762590646744
0,2201,0.0635276809334755
0,2301,0.06072046235203743
0,2401,0.05810334533452988
0,1,0.6402628421783447
0,101,0.30973267555236816
0,201,0.2536933124065399
0,301,0.2261103391647339
0,401,0.20031343400478363
0,501,0.16062809526920319
0,601,0.15031935274600983
0,701,0.13836994767189026
0,801,0.13061624765396118
