,N,Loss
0,1,0.46623939275741577
0,101,0.41969403624534607
0,201,0.25670745968818665
0,301,0.14121462404727936
0,401,0.10634957253932953
0,501,0.1099710464477539
0,601,0.09921012073755264
0,701,0.11050064861774445
0,801,0.11434190720319748
0,901,0.10348831862211227
0,1001,0.06365428864955902
0,1101,0.06749545782804489
0,1201,0.05168142914772034
0,1301,0.08746297657489777
0,1401,0.05284074321389198
0,1501,0.07038841396570206
0,1601,0.04598720371723175
0,1701,0.05249893665313721
0,1801,0.036062296479940414
0,1901,0.042429808527231216
0,2001,0.038725968450307846
0,2101,0.03588108718395233
0,2201,0.028914151713252068
0,2301,0.04241560399532318
0,2401,0.04364659637212753
0,1,1.023491621017456
0,101,0.3670545220375061
0,201,0.33792510628700256
0,301,0.13839177787303925
0,401,0.13935630023479462
0,501,0.12269918620586395
0,601,0.09762588143348694
0,701,0.08795975893735886
0,801,0.09995146095752716
0,901,0.07618207484483719
0,1001,0.0598662793636322
0,1101,0.04968719929456711
0,1201,0.062463536858558655
0,1301,0.045413658022880554
0,1401,0.06199713796377182
0,1501,0.03998203203082085
0,1601,0.03891252353787422
0,1701,0.04227013513445854
0,1801,0.047345586121082306
0,1901,0.04804777726531029
0,2001,0.03746040165424347
0,2101,0.040451642125844955
0,2201,0.05539426952600479
0,2301,0.04073949158191681
0,2401,0.026094557717442513
0,1,0.72711181640625
0,101,0.3758048117160797
0,201,0.2202734500169754
0,301,0.1590811163187027
0,401,0.14302773773670197
0,501,0.11997593939304352
0,601,0.10774806886911392
0,701,0.09833956509828568
0,801,0.07677818089723587
0,901,0.07149236649274826
0,1001,0.05778036639094353
0,1101,0.047821175307035446
0,1201,0.06490880250930786
0,1301,0.05009928718209267
0,1401,0.06901056319475174
0,1501,0.031952112913131714
0,1601,0.03421171009540558
0,1701,0.03579043969511986
0,1801,0.04950850456953049
0,1901,0.043829888105392456
0,2001,0.04202758148312569
0,2101,0.034505486488342285
0,2201,0.0353529267013073
0,2301,0.034692417830228806
0,2401,0.03729827702045441
0,1,1.0318951606750488
0,101,0.34358689188957214
0,201,0.2155635803937912
0,301,0.13301852345466614
0,401,0.15963034331798553
0,501,0.11979461461305618
0,601,0.1028914749622345
0,701,0.08932510018348694
0,801,0.09255369007587433
0,901,0.08571335673332214
0,1001,0.058875128626823425
0,1101,0.0460398867726326
0,1201,0.05460730195045471
0,1301,0.03687519207596779
0,1401,0.04568173736333847
0,1501,0.029327748343348503
0,1601,0.046589259058237076
0,1701,0.04227922856807709
0,1801,0.04010811448097229
0,1901,0.03354155644774437
0,2001,0.043190211057662964
0,2101,0.028666174039244652
0,2201,0.051799383014440536
0,2301,0.03873099014163017
0,2401,0.045217979699373245
0,1,1.2845584154129028
0,101,0.3474383056163788
0,201,0.23397541046142578
0,301,0.16363316774368286
0,401,0.1735507994890213
0,501,0.11983530223369598
0,601,0.10371570289134979
0,701,0.10604678094387054
0,801,0.09392070770263672
0,901,0.08969072252511978
0,1001,0.09670349210500717
0,1101,0.06556113064289093
0,1201,0.053083788603544235
0,1301,0.05490376800298691
0,1401,0.06448579579591751
0,1501,0.04869187995791435
0,1601,0.042118996381759644
0,1701,0.06208594888448715
0,1801,0.040686801075935364
0,1901,0.039353370666503906
0,2001,0.05227462947368622
0,2101,0.04209041967988014
0,2201,0.027803367003798485
0,2301,0.03657760098576546
0,2401,0.041246894747018814
0,1,0.833580732345581
0,101,0.4827975332736969
0,201,0.2699572741985321
0,301,0.12808996438980103
0,401,0.15755011141300201
0,501,0.12343431264162064
0,601,0.09900764375925064
0,701,0.0783664733171463
0,801,0.09012743085622787
0,901,0.055644068866968155
0,1001,0.0712553858757019
0,1101,0.08272790908813477
0,1201,0.058129940181970596
0,1301,0.05782018601894379
0,1401,0.03932943195104599
0,1501,0.06382045894861221
0,1601,0.03746999800205231
0,1701,0.034745484590530396
0,1801,0.0682910606265068
0,1901,0.04261864349246025
