,N,Loss
0,1,0.4105788469314575
0,101,0.16120299696922302
0,201,0.09205886721611023
0,301,0.04345013201236725
0,401,0.022381609305739403
0,501,0.017073245719075203
0,601,0.012288112193346024
0,701,0.007619531359523535
0,801,0.010283500887453556
0,901,0.012739397585391998
0,1001,0.009723619557917118
0,1101,0.013848676346242428
0,1201,0.014825846999883652
0,1301,0.007836081087589264
0,1401,0.009884418919682503
0,1501,0.012977913953363895
0,1601,0.01048421859741211
0,1701,0.009202923625707626
0,1801,0.008859876543283463
0,1901,0.004753800109028816
0,2001,0.010348949581384659
0,2101,0.007143018301576376
0,2201,0.005078390706330538
0,2301,0.008708827197551727
0,2401,0.007204817607998848
0,1,0.3475545048713684
0,101,0.1281718611717224
0,201,0.0764710009098053
0,301,0.04870687052607536
0,401,0.03716839477419853
0,501,0.02514817751944065
0,601,0.013992798514664173
0,701,0.013834677636623383
0,801,0.013627516105771065
0,901,0.007244158536195755
0,1001,0.015455973334610462
0,1101,0.017801690846681595
0,1201,0.009818576276302338
0,1301,0.016582438722252846
0,1401,0.011998560279607773
0,1501,0.007907585240900517
0,1601,0.013615425676107407
0,1701,0.008602960035204887
0,1801,0.00812087208032608
0,1901,0.008174324408173561
0,2001,0.010114025324583054
0,2101,0.009493487887084484
0,2201,0.012708933092653751
0,2301,0.006246061995625496
0,2401,0.004653113894164562
0,1,0.2777204215526581
0,101,0.11716587096452713
0,201,0.09885736554861069
0,301,0.06265121698379517
0,401,0.035392727702856064
0,501,0.012194850482046604
0,601,0.017051732167601585
0,701,0.007518108934164047
0,801,0.008215265348553658
0,901,0.007801438681781292
0,1001,0.007028626278042793
0,1101,0.009694076143205166
0,1201,0.011786449700593948
0,1301,0.011000188998878002
0,1401,0.011278760619461536
0,1501,0.011659464798867702
0,1601,0.0050892592407763
0,1701,0.018233703449368477
0,1801,0.00663654925301671
0,1901,0.01062997616827488
0,2001,0.008902336470782757
0,2101,0.00630499143153429
0,2201,0.006071161013096571
0,2301,0.005587179679423571
0,2401,0.004660453647375107
0,1,0.8340505957603455
0,101,0.08035679906606674
0,201,0.07054830342531204
0,301,0.05048864707350731
0,401,0.027884362265467644
0,501,0.00960446521639824
0,601,0.0116228386759758
0,701,0.004457303788512945
0,801,0.009936939924955368
0,901,0.009736327454447746
0,1001,0.014528002589941025
0,1101,0.012272520922124386
0,1201,0.011722011491656303
0,1301,0.009119602851569653
0,1401,0.016874095425009727
0,1501,0.012973302975296974
0,1601,0.007011642679572105
0,1701,0.007067546714097261
0,1801,0.010711733251810074
0,1901,0.006182768382132053
0,2001,0.006929740775376558
0,2101,0.005365563090890646
0,2201,0.008530625142157078
0,2301,0.007384442258626223
0,2401,0.0027345858979970217
0,1,0.2332514524459839
0,101,0.1214798167347908
0,201,0.07987561076879501
0,301,0.039078474044799805
0,401,0.02258523926138878
0,501,0.03244098648428917
0,601,0.016612352803349495
0,701,0.009138197638094425
0,801,0.006826198194175959
0,901,0.009134005755186081
0,1001,0.012235721573233604
0,1101,0.0144109595566988
0,1201,0.012538104318082333
0,1301,0.009086910635232925
0,1401,0.00696968799456954
0,1501,0.013478580862283707
0,1601,0.011398821137845516
0,1701,0.005351041443645954
0,1801,0.012256579473614693
0,1901,0.0075288633815944195
0,2001,0.006809308659285307
0,2101,0.0020491955801844597
0,2201,0.009036899544298649
0,2301,0.010101255029439926
0,2401,0.004290084820240736
0,1,0.3080306649208069
0,101,0.07650388032197952
0,201,0.0977862998843193
0,301,0.047863468527793884
0,401,0.03010147251188755
0,501,0.01867494359612465
0,601,0.0176764614880085
0,701,0.006780567113310099
0,801,0.006886531598865986
0,901,0.00673886202275753
0,1001,0.008925423957407475
0,1101,0.01158569660037756
0,1201,0.015083398669958115
0,1301,0.007683679927140474
0,1401,0.009409084916114807
0,1501,0.00889821257442236
0,1601,0.007921933196485043
0,1701,0.00925934873521328
0,1801,0.010905640199780464
0,1901,0.00757070304825902
0,2001,0.007458670064806938
0,2101,0.007353764958679676
0,2201,0.0050066434778273106
0,2301,0.0032147211022675037
0,2401,0.004804687574505806
0,1,0.651543140411377
0,101,0.1805747002363205
0,201,0.08301720023155212
0,301,0.047358185052871704
0,401,0.034172218292951584
0,501,0.015406079590320587
